id,site,country,lon,lat,count
32,'Akbara,Israel,35.4964828,32.9406374,1
170,'Ibellin,Israel,35.191741,32.8221555,2
585,Alonim,Israel,35.143997,32.719797,1
276,Arbel,Israel,35.4831791,32.8125979,5
610,Beth She'arim,Israel,35.1274323,32.7022694,7
36,Chorazin,Israel,35.5637956,32.9116037,1
274,el-Maâaser,Israel,35.4375547,32.8164121,1
17,Gush Halav,Israel,35.4483318,33.0259722,1
40,Horvat Kamon,Israel,35.3552377,32.9072532,1
48,Horvat Kur,Israel,35.5370754,32.8847454,1
308,Huqoq,Israel,35.4799658,32.8855067,2
565,Karm er-Ras,Israel,35.3328037,32.7498173,3
230,Khirbet Qana,Israel,35.3028488,32.823021,3
27,Khirbet Shema',Israel,35.4390782,32.9766798,2
298,Kulâat Ibn Man,Israel,35.4965576,32.8235571,1
330,Magdala,Israel,35.515151,32.8261224,3
24,Meiron,Israel,35.4395503,32.9829101,1
3,Meroth,Israel,35.5309331,33.0321877,2
627,Nazareth,Israel,35.2976561,32.7033528,2
30,Parod,Israel,35.4336226,32.9321822,1
588,Reina,Israel,35.3223083,32.7176453,1
14,Sasa,Israel,35.3978527,33.0260801,1
359,Sawaâed Hamriya,Israel,35.1673007,32.767745,1
362,Sepphoris,Israel,35.2794278,32.7532281,39
42,Sheikh Nashi,Israel,35.4860705,32.9022247,1
596,Tel Yin'am,Israel,35.5213888,32.716111,1
341,Tiberias,Israel,35.5428743,32.7817904,2
635,Yafi'a,Israel,35.275,32.6916667,1
54,Yodefat,Israel,35.2776039,32.8321537,2
582,Zarzir,Israel,35.2247,32.727311,1
