site,name_locus,country,method,context,length,width,depth,date,date2,functions,reference,rec_updated
'Akbara,1,Israel,Unknown,Cave,,,,,,,"*** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 10",10/01/17 02:21
'Ibellin,Complex D,Israel,Excavation,Cave,,,,,,,"*** Muqari. 1999. Ibellin, Excavations and Surveys in Israel 109, 18*-20*., p. 18*-20* *** Shahar. The Underground Hideouts in Galilee and Their Historical Meaning, in: The Bar Kokhba War Reconsidered. New Perspectives on the Second Jewish Revolt against Rome. SchÃ¤fer, Peter (Prof), 2003, p. 220 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 24",10/01/17 02:21
'Ibellin,L187/L189,Israel,Excavation,Unknown,2,2,2,,,,"*** Abu Raya. 2008. Evlayim (B), Hadashot Arkheologiyot-Excavations and Surveys in Israel 120,-., p. *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 25",10/01/17 02:21
Alonim,n.a.,Israel,Unknown,Unknown,,,,,,,"*** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 323 no. 84",10/01/17 02:21
Arbel,1,Israel,Excavation,Domestic.Uncertain,,,,,,,"*** Aviam. 2004. Jews, Pagans, and Christians in the Galilee: 25 Years of Archaeological Excavations and Surveys Hellenistic to Byzantine Periods., p. 25 n. 9-10 *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 252 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 31",23/02/17 03:12
Arbel,2,Israel,Excavation,Domestic.Uncertain,,,,,,,"*** Aviam. 2004. Jews, Pagans, and Christians in the Galilee: 25 Years of Archaeological Excavations and Surveys Hellenistic to Byzantine Periods., p. 25 n. 9-10 *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 252 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 32",10/01/17 02:21
Arbel,3,Israel,Survey,Cave,,,,,,,"*** Ilan. 1989. Eastern Galilee, Survey of Roman Roads, Excavations and Surveys in Israel 9, 14-18., p. 14-18, Fig. 15 *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 237-40 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 21 *** Miller. 2015. At the Intersection of Texts and Material Finds: Stepped Pools, Stone Vessels, and Ritual Purity Among the Jews of Roman Galilee., p. 23",10/01/17 02:21
Arbel,4,Israel,Survey,Cave,,,,,,,"*** Ilan. 1989. Eastern Galilee, Survey of Roman Roads, Excavations and Surveys in Israel 9, 14-18., p. 14-16 *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 237-40 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 22 *** Miller. 2015. At the Intersection of Texts and Material Finds: Stepped Pools, Stone Vessels, and Ritual Purity Among the Jews of Roman Galilee., p. 23",10/01/17 02:21
Arbel,5,Israel,Survey,Cave,,,,,,,"*** Ilan. 1989. Eastern Galilee, Survey of Roman Roads, Excavations and Surveys in Israel 9, 14-18., p. *** Leibner. 2009. Settlement and History in Hellenistic, Roman and Byzantine Galilee: An Archaeological Survey of the Eastern Galilee., p. 237-40 *** Adler. 2011. The Archaeology of Purity: Archaeological Evidence for the Observance of Ritual Purity in Erez-Israel from the Hasmonean Period until the End of the Talmudic Era (164 BCE â 400 CE). BIU: Bar-Ilan University, p. 321 no. 23 *** Miller. 2015. At the Intersection of Texts and Material Finds: Stepped Pools, Stone Vessels, and Ritual Purity Among the Jews of Roman Galilee., p. 23",10/01/17 02:21
Beth She'arim,Cat 11,Israel,Excavation,Burial,3.4,2.4,2.7,,,,,10/01/17 02:21
